maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile,Category,Round,Heat,Day
8764.089742,2.139670347,351,8732,662,0.085693359,2.131835938,0.161621094,2019-04-28T18:19:42.194400Z,149.4796445,0.036494054,NL,1,2019-04-28T18:19:26Z,Top Fuel,E2,Heat 1,Saturday
10468.72093,2.555840072,-1363,3318,-9835,-0.332763672,0.810058594,-2.401123047,2019-04-28T18:19:42.387200Z,157.7974529,0.038524769,NR,2,2019-04-28T18:19:26Z,Top Fuel,E2,Heat 1,Saturday
2604.734645,0.635921544,150.0177823,186,2593.750419,0.036625435,0.045410156,0.633239848,2019-04-28T18:19:42.677600Z,120.7971994,0.029491504,FR,3,2019-04-28T18:19:26Z,Top Fuel,E2,Heat 1,Saturday
2594.792675,0.633494305,1401.045558,2129,487.2159391,0.342052138,0.519775391,0.118949204,2019-04-28T18:24:42.103100Z,136.9300652,0.033430192,FL,0,2019-04-28T18:24:28Z,Top Fuel,E2,Heat 2,Saturday
11772.48912,2.874142851,194,7770,-8842,0.047363281,1.896972656,-2.158691406,2019-04-28T18:24:41.959400Z,159.151543,0.038855357,NL,1,2019-04-28T18:24:28Z,Top Fuel,E2,Heat 2,Saturday
7606.843301,1.857139478,-335,7044,-2852,-0.081787109,1.719726563,-0.696289063,2019-04-28T18:24:41.527200Z,150.3911174,0.036716581,NR,2,2019-04-28T18:24:28Z,Top Fuel,E2,Heat 2,Saturday
2612.378252,0.637787659,1349.171103,-1071,-1963.979753,0.329387476,-0.261474609,-0.479487244,2019-04-28T18:24:42.267600Z,116.908691,0.028542161,FR,3,2019-04-28T18:24:28Z,Top Fuel,E2,Heat 2,Saturday
2137.019458,0.521733266,-409.6207005,2044,-470.241475,-0.100005054,0.499023438,-0.114805048,2019-04-28T20:23:28.863900Z,135.2551043,0.033021266,FL,0,2019-04-28T20:23:19Z,Top Fuel,Final,Heat 1,Saturday
8572.43361,2.092879299,-1471,8259,1764,-0.359130859,2.016357422,0.430664063,2019-04-28T20:23:28.612200Z,148.6423977,0.036289648,NL,1,2019-04-28T20:23:19Z,Top Fuel,Final,Heat 1,Saturday
7451.003355,1.819092616,-1849,-3013,-6559,-0.451416016,-0.735595703,-1.601318359,2019-04-28T20:23:28.342700Z,161.5694836,0.039445675,NR,2,2019-04-28T20:23:19Z,Top Fuel,Final,Heat 1,Saturday
2391.170586,0.583781881,1843.553859,-1320,759.3457312,0.450086391,-0.322265625,0.185387141,2019-04-28T20:23:28.990300Z,126.6659544,0.030924305,FR,3,2019-04-28T20:23:19Z,Top Fuel,Final,Heat 1,Saturday
2334.220469,0.569878044,-1361.525784,-1853,-401.5267574,-0.332403756,-0.452392578,-0.098028994,2019-04-27T18:29:20.001900Z,134.8861883,0.032931198,FL,0,2019-04-27T18:29:03Z,Top Fuel ,Q2,Heat 1,Sunday
8831.633201,2.15616045,660,6416,6033,0.161132813,1.56640625,1.472900391,2019-04-27T18:29:19.511000Z,146.9435783,0.035874897,NL,1,2019-04-27T18:29:03Z,Top Fuel ,Q2,Heat 1,Sunday
8064.481694,1.968867601,-320,-6149,-5208,-0.078125,-1.501220703,-1.271484375,2019-04-27T18:29:19.404300Z,163.1588035,0.039833692,NR,2,2019-04-27T18:29:03Z,Top Fuel ,Q2,Heat 1,Sunday
2322.595517,0.567039921,-1614.265602,615,1552.537117,-0.394107813,0.150146484,0.379037382,2019-04-27T18:29:20.357700Z,120.3951122,0.029393338,FR,3,2019-04-27T18:29:03Z,Top Fuel ,Q2,Heat 1,Sunday
2697.362899,0.658535864,201.7905275,2568,800.2644519,0.049265265,0.626953125,0.195377063,2019-04-27T18:35:53.061900Z,134.8410473,0.032920178,FL,0,2019-04-27T18:35:33Z,Top Fuel ,Q2,Heat 2,Sunday
9275.497615,2.264525785,-264,-6874,-6222,-0.064453125,-1.678222656,-1.519042969,2019-04-27T18:35:52.516000Z,143.5320081,0.035041994,NL,1,2019-04-27T18:35:33Z,Top Fuel ,Q2,Heat 2,Sunday
2324.538019,0.567514165,448,2162,-727,0.109375,0.527832031,-0.177490234,2019-04-27T18:35:52.979300Z,102.7480699,0.025084978,NR,2,2019-04-27T18:35:33Z,Top Fuel ,Q2,Heat 2,Sunday
714.7733036,0.174505201,629.9026508,-193,-277.2625581,0.153784827,-0.047119141,-0.067691054,2019-04-27T18:35:53.547700Z,109.4668502,0.026725305,FR,3,2019-04-27T18:35:33Z,Top Fuel ,Q2,Heat 2,Sunday
3073.811576,0.750442279,-430.2966655,-1216,-2790.072828,-0.105052897,-0.296875,-0.681170124,2019-04-27T18:39:09.666900Z,141.7468722,0.03460617,FL,0,2019-04-27T18:38:51Z,Top Fuel ,Q2,Heat 3,Sunday
10395.48522,2.537960259,-75,598,-10378,-0.018310547,0.145996094,-2.533691406,2019-04-27T18:39:09.206000Z,158.7022121,0.038745657,NL,1,2019-04-27T18:38:51Z,Top Fuel ,Q2,Heat 3,Sunday
6397.986324,1.56200838,3452,3874,3743,0.842773438,0.945800781,0.913818359,2019-04-27T18:39:09.064300Z,145.6896639,0.035568766,NR,2,2019-04-27T18:38:51Z,Top Fuel ,Q2,Heat 3,Sunday
2182.047111,0.532726345,651.8743139,-264,-2065.597607,0.159149002,-0.064453125,-0.504296291,2019-04-27T18:39:09.812700Z,120.4017976,0.02939497,FR,3,2019-04-27T18:38:51Z,Top Fuel ,Q2,Heat 3,Sunday
2871.264335,0.700992269,75.72622751,1966,2091.236098,0.018487849,0.479980469,0.510555688,2019-04-27T18:45:04.551900Z,139.8472416,0.034142393,FL,0,2019-04-27T18:44:45Z,Top Fuel ,Q2,Heat 4,Sunday
9396.512225,2.294070368,-1728,7787,4967,-0.421875,1.901123047,1.212646484,2019-04-27T18:45:03.991000Z,162.5035683,0.039673723,NL,1,2019-04-27T18:44:45Z,Top Fuel ,Q2,Heat 4,Sunday
9284.901507,2.266821657,3280,-2070,-8436,0.80078125,-0.505371094,-2.059570313,2019-04-27T18:45:04.079300Z,165.4470185,0.040392338,NR,2,2019-04-27T18:44:45Z,Top Fuel ,Q2,Heat 4,Sunday
2314.213797,0.564993603,-6.117767239,-772,-2181.642517,-0.001493596,-0.188476563,-0.532627568,2019-04-27T18:45:04.732700Z,122.3011039,0.029858668,FR,3,2019-04-27T18:44:45Z,Top Fuel ,Q2,Heat 4,Sunday
2490.015236,0.607913876,1571.548681,197,-1921.354111,0.383678877,0.048095703,-0.469080593,2019-04-27T21:18:19.761200Z,133.5512486,0.032605285,FL,0,2019-04-27T21:18:03Z,Top Fuel ,Q3,Heat 1,Sunday
8834.590879,2.156882539,-634,-8442,-2526,-0.154785156,-2.061035156,-0.616699219,2019-04-27T21:18:19.491100Z,149.9755762,0.036615131,NL,1,2019-04-27T21:18:03Z,Top Fuel ,Q3,Heat 1,Sunday
7576.126319,1.849640215,-471,7557,-260,-0.114990234,1.844970703,-0.063476563,2019-04-27T21:18:19.433600Z,142.9632547,0.034903138,NR,2,2019-04-27T21:18:03Z,Top Fuel ,Q3,Heat 1,Sunday
2515.226334,0.614068929,-1941.247574,891,1328.171813,-0.473937396,0.217529297,0.324260696,2019-04-27T21:18:19.757600Z,125.137505,0.030551149,FR,3,2019-04-27T21:18:03Z,Top Fuel ,Q3,Heat 1,Sunday
